N=15;
start=
[|
0, 6, 8, 0, 0, 0, 0, 0, 13, 1, 4, 10, 5, 12, 0 |
15, 11, 13, 12, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 4 |
0, 0, 10, 13, 0, 6, 1, 11, 0, 0, 0, 14, 2, 7, 0 |
0, 0, 0, 4, 13, 0, 12, 0, 11, 9, 10, 1, 0, 0, 7 |
0, 0, 11, 6, 1, 14, 0, 10, 4, 0, 12, 9, 0, 0, 0 |
0, 4, 0, 0, 12, 11, 7, 0, 14, 0, 6, 3, 0, 0, 1 |
1, 9, 12, 10, 8, 13, 0, 0, 0, 0, 0, 11, 0, 0 ,6 |
14, 13, 5, 8, 0, 10, 0, 0, 0, 0, 7, 0, 1, 9, 0 |
0, 5, 0, 0, 0, 7, 6, 0, 15, 10, 8, 0, 0, 1, 2 |
2, 0, 4, 5, 14, 0, 0, 7, 6, 0, 0, 15, 13, 0, 0 |
11, 0, 0, 0, 0, 12, 8, 9, 0, 0, 2, 6, 0, 13, 10 |
0, 0, 0, 0, 11, 0, 10, 1, 7, 6, 0, 0, 12, 4, 13 |
13, 12, 0, 11, 5, 0, 15, 6, 0, 7, 0, 0,10, 0, 0 |
6, 0, 7, 0, 0, 8, 0, 12, 0, 14, 13, 0, 15, 0, 5 |
10, 7, 0, 0, 15, 0, 4, 0, 12, 5, 0, 0, 6, 2, 0 |];
