file name  iterations  slots  penalty  strategy  

car-f-92.stu  50  32  7.777240892556599  degree_sorted + kempe chain   
car-f-92.stu  100  32  6.900537488463  degree_sorted + kempe chain   
car-f-92.stu  200  32  6.2255822791682505  degree_sorted + kempe chain   
car-f-92.stu  500  32  5.839513545795103  degree_sorted + kempe chain   
car-f-92.stu  1000  32  5.961832889950594  degree_sorted + kempe chain   
car-f-92.stu  1500  32  5.744774417720832  degree_sorted + kempe chain   
car-f-92.stu  2000  32  5.826483522449644  degree_sorted + kempe chain   
*********************degree_sorted scheme ends here*************************************
car-f-92.stu  50  30  8.064932949671535  dsatur + kempe chain   
car-f-92.stu  100  30  7.465334708724686  dsatur + kempe chain   
car-f-92.stu  200  30  6.882675498126934  dsatur + kempe chain   
car-f-92.stu  500  30  6.918833812910582  dsatur + kempe chain   
car-f-92.stu  1000  30  6.514088712742277  dsatur + kempe chain   
car-f-92.stu  1500  30  6.180194364514903  dsatur + kempe chain   
car-f-92.stu  2000  30  6.186655084423693  dsatur + kempe chain   
*********************dsatur scheme ends here*************************************
-------------------------------------------------------------------



car-s-91.stu  50  35  9.079818031430934  degree_sorted + kempe chain   
car-s-91.stu  100  35  8.477844735909253  degree_sorted + kempe chain   
car-s-91.stu  200  35  7.939324116743472  degree_sorted + kempe chain   
car-s-91.stu  500  35  7.478258300838946  degree_sorted + kempe chain   
car-s-91.stu  1000  35  7.228346921895309  degree_sorted + kempe chain   
car-s-91.stu  1500  35  7.322403403048565  degree_sorted + kempe chain   
car-s-91.stu  2000  35  6.966619402103273  degree_sorted + kempe chain   
*********************degree_sorted scheme ends here*************************************
car-s-91.stu  50  31  9.722852416400803  dsatur + kempe chain   
car-s-91.stu  100  31  9.415928157863641  dsatur + kempe chain   
car-s-91.stu  200  31  8.917227933356966  dsatur + kempe chain   
car-s-91.stu  500  31  8.485407066052227  dsatur + kempe chain   
car-s-91.stu  1000  31  7.976958525345622  dsatur + kempe chain   
car-s-91.stu  1500  31  8.550395840718421  dsatur + kempe chain   
car-s-91.stu  2000  31  7.995509866477608  dsatur + kempe chain   
*********************dsatur scheme ends here*************************************
-------------------------------------------------------------------



kfu-s-93.stu  50  20  28.923163208076275  degree_sorted + kempe chain   
kfu-s-93.stu  100  20  24.935128061319872  degree_sorted + kempe chain   
kfu-s-93.stu  200  20  22.02785567395775  degree_sorted + kempe chain   
kfu-s-93.stu  500  20  20.410170125257057  degree_sorted + kempe chain   
kfu-s-93.stu  1000  20  19.139465320620676  degree_sorted + kempe chain   
kfu-s-93.stu  1500  20  18.67208824079267  degree_sorted + kempe chain   
kfu-s-93.stu  2000  20  18.671340437464945  degree_sorted + kempe chain   
*********************degree_sorted scheme ends here*************************************
kfu-s-93.stu  50  19  29.112357449990654  dsatur + kempe chain   
kfu-s-93.stu  100  19  24.72649093288465  dsatur + kempe chain   
kfu-s-93.stu  200  19  23.309964479341932  dsatur + kempe chain   
kfu-s-93.stu  500  19  21.653954010095344  dsatur + kempe chain   
kfu-s-93.stu  1000  19  20.461020751542346  dsatur + kempe chain   
kfu-s-93.stu  1500  19  20.203028603477286  dsatur + kempe chain   
kfu-s-93.stu  2000  19  20.122265844083007  dsatur + kempe chain   
*********************dsatur scheme ends here*************************************
-------------------------------------------------------------------



tre-s-92.stu  50  23  12.480055020632737  degree_sorted + kempe chain   
tre-s-92.stu  100  23  12.427097661623108  degree_sorted + kempe chain   
tre-s-92.stu  200  23  10.881247134342045  degree_sorted + kempe chain   
tre-s-92.stu  500  23  10.754928931682715  degree_sorted + kempe chain   
tre-s-92.stu  1000  23  10.665749656121045  degree_sorted + kempe chain   
tre-s-92.stu  1500  23  10.471343420449335  degree_sorted + kempe chain   
tre-s-92.stu  2000  23  10.43282897753324  degree_sorted + kempe chain   
*********************degree_sorted scheme ends here*************************************
tre-s-92.stu  50  23  12.37459880788629  dsatur + kempe chain   
tre-s-92.stu  100  23  11.42067858780376  dsatur + kempe chain   
tre-s-92.stu  200  23  11.649472718936268  dsatur + kempe chain   
tre-s-92.stu  500  23  10.855570839064649  dsatur + kempe chain   
tre-s-92.stu  1000  23  10.77326914259514  dsatur + kempe chain   
tre-s-92.stu  1500  23  10.722604309949565  dsatur + kempe chain   
tre-s-92.stu  2000  23  10.678358551123338  dsatur + kempe chain   
*********************dsatur scheme ends here*************************************
-------------------------------------------------------------------



yor-f-83.stu  50  23  48.58767268862912  degree_sorted + kempe chain   
yor-f-83.stu  100  23  45.8182784272051  degree_sorted + kempe chain   
yor-f-83.stu  200  23  42.151965993623804  degree_sorted + kempe chain   
yor-f-83.stu  500  23  39.313496280552606  degree_sorted + kempe chain   
yor-f-83.stu  1000  23  38.721572794899046  degree_sorted + kempe chain   
yor-f-83.stu  1500  23  40.493092454835285  degree_sorted + kempe chain   
yor-f-83.stu  2000  23  39.63336875664187  degree_sorted + kempe chain   
*********************degree_sorted scheme ends here*************************************
yor-f-83.stu  50  20  54.46971307120085  dsatur + kempe chain   
yor-f-83.stu  100  20  51.376195536663126  dsatur + kempe chain   
yor-f-83.stu  200  20  49.157279489904354  dsatur + kempe chain   
yor-f-83.stu  500  20  49.375132837407016  dsatur + kempe chain   
yor-f-83.stu  1000  20  47.035069075451645  dsatur + kempe chain   
yor-f-83.stu  1500  20  47.4240170031881  dsatur + kempe chain   
yor-f-83.stu  2000  20  48.093517534537725  dsatur + kempe chain   
*********************dsatur scheme ends here*************************************
-------------------------------------------------------------------



